id,size
1,100
2,19
3,35
4,17
5,48
6,35
7,43
8,66
9,70
10,46
11,52
12,88
13,49
14,58
15,11
16,20
17,80
18,55
19,62
20,35
21,20
22,11
23,6
24,47
25,41
26,35
27,39
28,68
29,99
30,16
31,46
32,80
33,82
34,39
35,54
36,11
37,65
38,35
39,35
40,83
41,42
42,16
43,85
44,86
45,37
46,54
47,5
48,87
49,11
50,40
51,53
52,36
53,8
54,57
55,53
56,46
57,88
58,28
59,31
60,27
61,44
62,88
63,42
64,77
65,58
66,58
67,70
68,35
69,11
70,95
71,41
72,92
73,27
74,95
75,97
76,44
77,4
78,13
79,73
80,94
81,93
82,7
83,77
84,26
85,79
86,14
87,61
88,25
89,23
90,75
91,41
92,16
93,89
94,78
95,83
96,5
97,70
98,70
99,51
100,40
101,43
102,92
103,9
104,64
105,68
106,67
107,10
108,89
109,42
110,47
111,10
112,14
113,36
114,80
115,11
116,90
117,66
118,76
119,22
120,21
121,32
122,47
123,9
124,6
125,56
126,85
127,39
128,35
129,37
130,51
131,23
132,3
133,79
134,33
135,73
136,35
137,92
138,41
139,11
140,19
141,62
142,53
143,79
144,55
145,60
146,19
147,92
148,17
149,5
150,1
151,44
152,69
153,84
154,41
155,94
156,85
157,18
158,91
159,96
160,82
161,28
162,21
163,66
164,50
165,48
166,1
167,82
168,67
169,100
170,83
171,67
172,94
173,42
174,50
175,25
176,98
177,87
178,94
179,89
180,64
181,21
182,33
183,26
184,86
185,3
186,63
187,2
188,57
189,87
190,49
191,85
192,31
193,84
194,1
195,8
196,82
197,84
198,16
199,35
200,99
201,67
202,66
203,75
204,46
205,17
206,10
207,19
208,72
209,96
210,85
211,68
212,20
213,70
214,67
215,57
216,70
217,1
218,29
219,71
220,44
221,99
222,22
223,25
224,70
225,68
226,5
227,38
228,12
229,35
230,84
231,49
232,83
233,30
234,94
235,29
236,79
237,75
238,4
239,21
240,7
241,87
242,62
243,1
244,43
245,70
246,33
247,17
248,49
249,43
250,84
251,82
252,80
253,14
254,35
255,43
256,28
257,27
258,10
259,36
260,57
261,2
262,82
263,47
264,80
265,87
266,5
267,79
268,94
269,54
270,63
271,37
272,42
273,23
274,21
275,92
276,26
277,45
278,49
279,84
280,12
281,50
282,88
283,43
284,66
285,59
286,35
287,6
288,38
289,17
290,81
291,13
292,37
293,16
294,38
295,8
296,84
297,65
298,55
299,78
300,56
301,82
302,17
303,23
304,15
305,56
306,40
307,9
308,72
309,24
310,95
311,84
312,86
313,23
314,42
315,82
316,94
317,31
318,7
319,64
320,71
321,64
322,14
323,4
324,2
325,78
326,48
327,96
328,46
329,97
330,88
331,1
332,74
333,31
334,3
335,100
336,77
337,70
338,59
339,8
340,68
341,1
342,20
343,44
344,53
345,56
346,39
347,42
348,13
349,2
350,21
351,30
352,27
353,91
354,64
355,59
356,51
357,43
358,100
359,23
360,13
361,36
362,42
363,90
364,92
365,43
366,3
367,71
368,66
369,4
370,65
371,25
372,27
373,31
374,83
375,93
376,83
377,90
378,29
379,37
380,52
381,87
382,24
383,81
384,35
385,92
386,55
387,6
388,3
389,74
390,46
391,78
392,78
393,23
394,88
395,60
396,53
397,63
398,15
399,76
400,77
401,25
402,7
403,16
404,15
405,23
406,31
407,63
408,68
409,37
410,57
411,49
412,32
413,52
414,37
415,14
416,46
417,5
418,64
419,92
420,33
421,16
422,5
423,66
424,30
425,13
426,64
427,78
428,39
429,49
430,96
431,48
432,5
433,22
434,91
435,96
436,29
437,99
438,24
439,70
440,52
441,39
442,75
443,4
444,60
445,12
446,92
447,11
448,41
449,93
450,24
451,40
452,19
453,77
454,21
455,19
456,48
457,75
458,86
459,97
460,35
461,62
462,26
463,52
464,64
465,26
466,99
467,17
468,99
469,97
470,56
471,53
472,23
473,61
474,72
475,20
476,53
477,97
478,58
479,76
480,57
481,40
482,79
483,12
484,65
485,59
486,73
487,23
488,56
489,24
490,58
491,88
492,53
493,24
494,71
495,42
496,68
497,50
498,24
499,90
500,68
501,87
502,3
503,74
